INT	INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT	INT
																																																															
########	技能616	########	25751---25800		########	########																																																									
25751																																																															
25752																																																															
25753																																																															
25754																																																															
25755																																																															
########	########	########	########	########	########	########																																																									
																																																															
########	技能617	########	25801---25850		########	########																																																									
25801																																																															
25802																																																															
25803																																																															
25804																																																															
25805																																																															
########	########	########	########	########	########	########																																																									
																																																															
########	技能618	########	25851---25900		########	########																																																									
25851	14	沉默	StdImpact014	1	1001	-1	25851	-1	0	1	0	0	0	0	0	0	0	5000	0	0	0	0	0	0	"可否使用任何技能标记：0-无法使用相关技能，1-可以使用相关技能）,-1无效"	0	"可否使用门派技能标记：0-无法使用相关技能，1-可以使用相关技能）,-1无效"	-1	"可否移动标记：0-无法移动，1-可以移动）, -1无效"	-1	"无敌否标记：0-非无敌，1-无敌）,-1无效"	-1	移动速度修正%（0为无效）	0	隐身级别修正（0为无效）	0	反隐级别修正（0为无效）	0	变身ID(-1为无效)	-1	骑乘ID(-1为无效)	-1																				0	0
25852	14	沉默	StdImpact014	1	1001	-1	25852	-1	0	1	0	0	0	0	0	0	0	5000	0	0	0	0	0	0	"可否使用任何技能标记：0-无法使用相关技能，1-可以使用相关技能）,-1无效"	0	"可否使用门派技能标记：0-无法使用相关技能，1-可以使用相关技能）,-1无效"	-1	"可否移动标记：0-无法移动，1-可以移动）, -1无效"	-1	"无敌否标记：0-非无敌，1-无敌）,-1无效"	-1	移动速度修正%（0为无效）	0	隐身级别修正（0为无效）	0	反隐级别修正（0为无效）	0	变身ID(-1为无效)	-1	骑乘ID(-1为无效)	-1																				0	0
25853	14	沉默	StdImpact014	1	1001	-1	25853	-1	0	1	0	0	0	0	0	0	0	5000	0	0	0	0	0	0	"可否使用任何技能标记：0-无法使用相关技能，1-可以使用相关技能）,-1无效"	0	"可否使用门派技能标记：0-无法使用相关技能，1-可以使用相关技能）,-1无效"	-1	"可否移动标记：0-无法移动，1-可以移动）, -1无效"	-1	"无敌否标记：0-非无敌，1-无敌）,-1无效"	-1	移动速度修正%（0为无效）	0	隐身级别修正（0为无效）	0	反隐级别修正（0为无效）	0	变身ID(-1为无效)	-1	骑乘ID(-1为无效)	-1																				0	0
25854	14	沉默	StdImpact014	1	1001	-1	25854	-1	0	1	0	0	0	0	0	0	0	5000	0	0	0	0	0	0	"可否使用任何技能标记：0-无法使用相关技能，1-可以使用相关技能）,-1无效"	0	"可否使用门派技能标记：0-无法使用相关技能，1-可以使用相关技能）,-1无效"	-1	"可否移动标记：0-无法移动，1-可以移动）, -1无效"	-1	"无敌否标记：0-非无敌，1-无敌）,-1无效"	-1	移动速度修正%（0为无效）	0	隐身级别修正（0为无效）	0	反隐级别修正（0为无效）	0	变身ID(-1为无效)	-1	骑乘ID(-1为无效)	-1																				0	0
25855	14	沉默	StdImpact014	1	1001	-1	25855	-1	0	1	0	0	0	0	0	0	0	5000	0	0	0	0	0	0	"可否使用任何技能标记：0-无法使用相关技能，1-可以使用相关技能）,-1无效"	0	"可否使用门派技能标记：0-无法使用相关技能，1-可以使用相关技能）,-1无效"	-1	"可否移动标记：0-无法移动，1-可以移动）, -1无效"	-1	"无敌否标记：0-非无敌，1-无敌）,-1无效"	-1	移动速度修正%（0为无效）	0	隐身级别修正（0为无效）	0	反隐级别修正（0为无效）	0	变身ID(-1为无效)	-1	骑乘ID(-1为无效)	-1																				0	0
########	########	########	########	########	########	########																																																									
																																																															
########	技能619	########	25901---25950		########	########																																																									
25901																																																															
25902																																																															
25903																																																															
25904																																																															
25905																																																															
########	########	########	########	########	########	########																																																									
																																																															
########	技能620	########	25951---26000		########	########																																																									
25951																																																															
25952																																																															
25953																																																															
25954																																																															
25955																																																															
########	########	########	########	########	########	########																																																									
																																																															
########	########	########	########	########																																																											
########	刀唐技能	26001---27000		########																																																											
########	########	########	########	########																																																											
																																																															
########	技能701	########	26001---26050		########	########																																																									
26001																																																															
26002																																																															
26003																																																															
26004																																																															
26005																																																															
########	########	########	########	########	########	########																																																									
																																																															
########	技能702	########	26051---26100		########	########																																																									
26051	3	伤害	StdImpact003	0	1001	-1	26051	-1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	远程内功伤害值	0	远程外功伤害值	0	近程内功伤害值	0	近程外功伤害值	1	金伤害	0	木伤害	0	水伤害	0	火伤害	0	土伤害	0																					
26052	3	伤害	StdImpact003	0	1001	-1	26052	-1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	远程内功伤害值	0	远程外功伤害值	0	近程内功伤害值	0	近程外功伤害值	1	金伤害	0	木伤害	0	水伤害	0	火伤害	0	土伤害	0																					
26053	3	伤害	StdImpact003	0	1001	-1	26053	-1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	远程内功伤害值	0	远程外功伤害值	0	近程内功伤害值	0	近程外功伤害值	1	金伤害	0	木伤害	0	水伤害	0	火伤害	0	土伤害	0																					
26054	3	伤害	StdImpact003	0	1001	-1	26054	-1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	远程内功伤害值	0	远程外功伤害值	0	近程内功伤害值	0	近程外功伤害值	1	金伤害	0	木伤害	0	水伤害	0	火伤害	0	土伤害	0																					
26055	3	伤害	StdImpact003	0	1001	-1	26055	-1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	远程内功伤害值	0	远程外功伤害值	0	近程内功伤害值	0	近程外功伤害值	1	金伤害	0	木伤害	0	水伤害	0	火伤害	0	土伤害	0																					
26056	10	DOT伤害	StdImpact010	1	1001	-1	26056	-1	0	1	0	0	0	0	0	0	0	20000	1000	0	0	0	0	0	子效果1的DataIndex	1	子效果2的DataIndex	-1					子效果3的DataIndex	-1	子效果4的DataIndex	-1	子效果5的DataIndex	-1	子效果6的DataIndex	-1	子效果7的DataIndex	-1	子效果10的DataIndex	-1	子效果11的DataIndex	-1	子效果12的DataIndex	-1	子效果13的DataIndex	-1	子效果14的DataIndex	-1	子效果15的DataIndex	-1	子效果16的DataIndex	-1					韦陀杵HPDOT1	0	0
26057	10	DOT伤害	StdImpact010	1	1001	-1	26057	-1	0	1	0	0	0	0	0	0	0	20000	1000	0	0	0	0	0	子效果1的DataIndex	1	子效果2的DataIndex	-1					子效果3的DataIndex	-1	子效果4的DataIndex	-1	子效果5的DataIndex	-1	子效果6的DataIndex	-1	子效果7的DataIndex	-1	子效果10的DataIndex	-1	子效果11的DataIndex	-1	子效果12的DataIndex	-1	子效果13的DataIndex	-1	子效果14的DataIndex	-1	子效果15的DataIndex	-1	子效果16的DataIndex	-1					韦陀杵HPDOT1	0	0
26058	10	DOT伤害	StdImpact010	1	1001	-1	26058	-1	0	1	0	0	0	0	0	0	0	20000	1000	0	0	0	0	0	子效果1的DataIndex	1	子效果2的DataIndex	-1					子效果3的DataIndex	-1	子效果4的DataIndex	-1	子效果5的DataIndex	-1	子效果6的DataIndex	-1	子效果7的DataIndex	-1	子效果10的DataIndex	-1	子效果11的DataIndex	-1	子效果12的DataIndex	-1	子效果13的DataIndex	-1	子效果14的DataIndex	-1	子效果15的DataIndex	-1	子效果16的DataIndex	-1					韦陀杵HPDOT1	0	0
26059	10	DOT伤害	StdImpact010	1	1001	-1	26059	-1	0	1	0	0	0	0	0	0	0	20000	1000	0	0	0	0	0	子效果1的DataIndex	1	子效果2的DataIndex	-1					子效果3的DataIndex	-1	子效果4的DataIndex	-1	子效果5的DataIndex	-1	子效果6的DataIndex	-1	子效果7的DataIndex	-1	子效果10的DataIndex	-1	子效果11的DataIndex	-1	子效果12的DataIndex	-1	子效果13的DataIndex	-1	子效果14的DataIndex	-1	子效果15的DataIndex	-1	子效果16的DataIndex	-1					韦陀杵HPDOT1	0	0
26060	10	DOT伤害	StdImpact010	1	1001	-1	26060	-1	0	1	0	0	0	0	0	0	0	20000	1000	0	0	0	0	0	子效果1的DataIndex	1	子效果2的DataIndex	-1					子效果3的DataIndex	-1	子效果4的DataIndex	-1	子效果5的DataIndex	-1	子效果6的DataIndex	-1	子效果7的DataIndex	-1	子效果10的DataIndex	-1	子效果11的DataIndex	-1	子效果12的DataIndex	-1	子效果13的DataIndex	-1	子效果14的DataIndex	-1	子效果15的DataIndex	-1	子效果16的DataIndex	-1					韦陀杵HPDOT1	0	0
########	########	########	########	########	########	########																																																									
																																																															
########	技能703	########	26101---26150		########	########																																																									
26101	10	DOT伤害	StdImpact010	1	1001	-1	26101	-1	0	1	0	0	0	0	0	0	0	20000	1000	0	0	0	0	0	子效果1的DataIndex	1	子效果2的DataIndex	-1					子效果3的DataIndex	-1	子效果4的DataIndex	-1	子效果5的DataIndex	-1	子效果6的DataIndex	-1	子效果7的DataIndex	-1	子效果10的DataIndex	-1	子效果11的DataIndex	-1	子效果12的DataIndex	-1	子效果13的DataIndex	-1	子效果14的DataIndex	-1	子效果15的DataIndex	-1	子效果16的DataIndex	-1					韦陀杵HPDOT1	0	0
26102	10	DOT伤害	StdImpact010	1	1001	-1	26102	-1	0	1	0	0	0	0	0	0	0	20000	1000	0	0	0	0	0	子效果1的DataIndex	1	子效果2的DataIndex	-1					子效果3的DataIndex	-1	子效果4的DataIndex	-1	子效果5的DataIndex	-1	子效果6的DataIndex	-1	子效果7的DataIndex	-1	子效果10的DataIndex	-1	子效果11的DataIndex	-1	子效果12的DataIndex	-1	子效果13的DataIndex	-1	子效果14的DataIndex	-1	子效果15的DataIndex	-1	子效果16的DataIndex	-1					韦陀杵HPDOT1	0	0
26103	10	DOT伤害	StdImpact010	1	1001	-1	26103	-1	0	1	0	0	0	0	0	0	0	20000	1000	0	0	0	0	0	子效果1的DataIndex	1	子效果2的DataIndex	-1					子效果3的DataIndex	-1	子效果4的DataIndex	-1	子效果5的DataIndex	-1	子效果6的DataIndex	-1	子效果7的DataIndex	-1	子效果10的DataIndex	-1	子效果11的DataIndex	-1	子效果12的DataIndex	-1	子效果13的DataIndex	-1	子效果14的DataIndex	-1	子效果15的DataIndex	-1	子效果16的DataIndex	-1					韦陀杵HPDOT1	0	0
26104	10	DOT伤害	StdImpact010	1	1001	-1	26104	-1	0	1	0	0	0	0	0	0	0	20000	1000	0	0	0	0	0	子效果1的DataIndex	1	子效果2的DataIndex	-1					子效果3的DataIndex	-1	子效果4的DataIndex	-1	子效果5的DataIndex	-1	子效果6的DataIndex	-1	子效果7的DataIndex	-1	子效果10的DataIndex	-1	子效果11的DataIndex	-1	子效果12的DataIndex	-1	子效果13的DataIndex	-1	子效果14的DataIndex	-1	子效果15的DataIndex	-1	子效果16的DataIndex	-1					韦陀杵HPDOT1	0	0
26105	10	DOT伤害	StdImpact010	1	1001	-1	26105	-1	0	1	0	0	0	0	0	0	0	20000	1000	0	0	0	0	0	子效果1的DataIndex	1	子效果2的DataIndex	-1					子效果3的DataIndex	-1	子效果4的DataIndex	-1	子效果5的DataIndex	-1	子效果6的DataIndex	-1	子效果7的DataIndex	-1	子效果10的DataIndex	-1	子效果11的DataIndex	-1	子效果12的DataIndex	-1	子效果13的DataIndex	-1	子效果14的DataIndex	-1	子效果15的DataIndex	-1	子效果16的DataIndex	-1					韦陀杵HPDOT1	0	0
########	########	########	########	########	########	########																																																									
																																																															
########	技能704	########	26151---26200		########	########																																																									
26151	3	伤害	StdImpact003	0	1001	-1	26151	-1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	远程内功伤害值	0	远程外功伤害值	0	近程内功伤害值	0	近程外功伤害值	1	金伤害	0	木伤害	0	水伤害	0	火伤害	0	土伤害	0																					
26152	3	伤害	StdImpact003	0	1001	-1	26152	-1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	远程内功伤害值	0	远程外功伤害值	0	近程内功伤害值	0	近程外功伤害值	1	金伤害	0	木伤害	0	水伤害	0	火伤害	0	土伤害	0																					
26153	3	伤害	StdImpact003	0	1001	-1	26153	-1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	远程内功伤害值	0	远程外功伤害值	0	近程内功伤害值	0	近程外功伤害值	1	金伤害	0	木伤害	0	水伤害	0	火伤害	0	土伤害	0																					
26154	3	伤害	StdImpact003	0	1001	-1	26154	-1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	远程内功伤害值	0	远程外功伤害值	0	近程内功伤害值	0	近程外功伤害值	1	金伤害	0	木伤害	0	水伤害	0	火伤害	0	土伤害	0																					
26155	3	伤害	StdImpact003	0	1001	-1	26155	-1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	远程内功伤害值	0	远程外功伤害值	0	近程内功伤害值	0	近程外功伤害值	1	金伤害	0	木伤害	0	水伤害	0	火伤害	0	土伤害	0																					
26156	3	伤害	StdImpact003	0	1001	-1	26156	-1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	远程内功伤害值	0	远程外功伤害值	0	近程内功伤害值	0	近程外功伤害值	1	金伤害	0	木伤害	0	水伤害	0	火伤害	0	土伤害	0																					
26157	3	伤害	StdImpact003	0	1001	-1	26157	-1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	远程内功伤害值	0	远程外功伤害值	0	近程内功伤害值	0	近程外功伤害值	1	金伤害	0	木伤害	0	水伤害	0	火伤害	0	土伤害	0																					
26158	3	伤害	StdImpact003	0	1001	-1	26158	-1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	远程内功伤害值	0	远程外功伤害值	0	近程内功伤害值	0	近程外功伤害值	1	金伤害	0	木伤害	0	水伤害	0	火伤害	0	土伤害	0																					
26159	3	伤害	StdImpact003	0	1001	-1	26159	-1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	远程内功伤害值	0	远程外功伤害值	0	近程内功伤害值	0	近程外功伤害值	1	金伤害	0	木伤害	0	水伤害	0	火伤害	0	土伤害	0																					
26160	3	伤害	StdImpact003	0	1001	-1	26160	-1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	远程内功伤害值	0	远程外功伤害值	0	近程内功伤害值	0	近程外功伤害值	1	金伤害	0	木伤害	0	水伤害	0	火伤害	0	土伤害	0																					
########	########	########	########	########	########	########																																																									
																																																															
########	技能705	########	26201---26250		########	########																																																									
26201																																																															
26202																																																															
26203																																																															
26204																																																															
26205																																																															
########	########	########	########	########	########	########																																																									
																																																															
########	技能706	########	26251---26300		########	########																																																									
26251	3	伤害	StdImpact003	0	1001	-1	26251	-1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	远程内功伤害值	0	远程外功伤害值	0	近程内功伤害值	0	近程外功伤害值	0	金伤害	0	木伤害	100	水伤害	0	火伤害	200	土伤害	0																					
26252	3	伤害	StdImpact003	0	1001	-1	26252	-1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	远程内功伤害值	0	远程外功伤害值	0	近程内功伤害值	0	近程外功伤害值	0	金伤害	0	木伤害	100	水伤害	0	火伤害	200	土伤害	0																					
26253	3	伤害	StdImpact003	0	1001	-1	26253	-1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	远程内功伤害值	0	远程外功伤害值	0	近程内功伤害值	0	近程外功伤害值	0	金伤害	0	木伤害	100	水伤害	0	火伤害	200	土伤害	0																					
26254	3	伤害	StdImpact003	0	1001	-1	26254	-1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	远程内功伤害值	0	远程外功伤害值	0	近程内功伤害值	0	近程外功伤害值	0	金伤害	0	木伤害	100	水伤害	0	火伤害	200	土伤害	0																					
26255	3	伤害	StdImpact003	0	1001	-1	26255	-1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	远程内功伤害值	0	远程外功伤害值	0	近程内功伤害值	0	近程外功伤害值	0	金伤害	0	木伤害	100	水伤害	0	火伤害	200	土伤害	0																					
26256	14	减速	StdImpact014	1	1001	-1	26256	-1	0	1	0	0	0	0	0	0	0	5000	0	0	0	0	0	0	"可否使用任何技能标记：0-无法使用相关技能，1-可以使用相关技能）,-1无效"	-1	"可否使用门派技能标记：0-无法使用相关技能，1-可以使用相关技能）,-1无效"	-1	"可否移动标记：0-无法移动，1-可以移动）, -1无效"	-1	"无敌否标记：0-非无敌，1-无敌）,-1无效"	-1	移动速度修正%（0为无效）	-20	隐身级别修正（0为无效）	0	反隐级别修正（0为无效）	0	变身ID(-1为无效)	-1	骑乘ID(-1为无效)	-1																					
26257	14	减速	StdImpact014	1	1001	-1	26257	-1	0	1	0	0	0	0	0	0	0	5000	0	0	0	0	0	0	"可否使用任何技能标记：0-无法使用相关技能，1-可以使用相关技能）,-1无效"	-1	"可否使用门派技能标记：0-无法使用相关技能，1-可以使用相关技能）,-1无效"	-1	"可否移动标记：0-无法移动，1-可以移动）, -1无效"	-1	"无敌否标记：0-非无敌，1-无敌）,-1无效"	-1	移动速度修正%（0为无效）	-20	隐身级别修正（0为无效）	0	反隐级别修正（0为无效）	0	变身ID(-1为无效)	-1	骑乘ID(-1为无效)	-1																					
26258	14	减速	StdImpact014	1	1001	-1	26258	-1	0	1	0	0	0	0	0	0	0	5000	0	0	0	0	0	0	"可否使用任何技能标记：0-无法使用相关技能，1-可以使用相关技能）,-1无效"	-1	"可否使用门派技能标记：0-无法使用相关技能，1-可以使用相关技能）,-1无效"	-1	"可否移动标记：0-无法移动，1-可以移动）, -1无效"	-1	"无敌否标记：0-非无敌，1-无敌）,-1无效"	-1	移动速度修正%（0为无效）	-20	隐身级别修正（0为无效）	0	反隐级别修正（0为无效）	0	变身ID(-1为无效)	-1	骑乘ID(-1为无效)	-1																					
26259	14	减速	StdImpact014	1	1001	-1	26259	-1	0	1	0	0	0	0	0	0	0	5000	0	0	0	0	0	0	"可否使用任何技能标记：0-无法使用相关技能，1-可以使用相关技能）,-1无效"	-1	"可否使用门派技能标记：0-无法使用相关技能，1-可以使用相关技能）,-1无效"	-1	"可否移动标记：0-无法移动，1-可以移动）, -1无效"	-1	"无敌否标记：0-非无敌，1-无敌）,-1无效"	-1	移动速度修正%（0为无效）	-20	隐身级别修正（0为无效）	0	反隐级别修正（0为无效）	0	变身ID(-1为无效)	-1	骑乘ID(-1为无效)	-1																					
26260	14	减速	StdImpact014	1	1001	-1	26260	-1	0	1	0	0	0	0	0	0	0	5000	0	0	0	0	0	0	"可否使用任何技能标记：0-无法使用相关技能，1-可以使用相关技能）,-1无效"	-1	"可否使用门派技能标记：0-无法使用相关技能，1-可以使用相关技能）,-1无效"	-1	"可否移动标记：0-无法移动，1-可以移动）, -1无效"	-1	"无敌否标记：0-非无敌，1-无敌）,-1无效"	-1	移动速度修正%（0为无效）	-20	隐身级别修正（0为无效）	0	反隐级别修正（0为无效）	0	变身ID(-1为无效)	-1	骑乘ID(-1为无效)	-1																					
########	########	########	########	########	########	########																																																									
																																																															
########	技能707	########	26301---26350		########	########																																																									
26301																																																															
26302																																																															
26303																																																															
26304																																																															
26305																																																															
########	########	########	########	########	########	########																																																									
																																																															
########	技能708	########	26351---26400		########	########																																																									
26351																																																															
26352																																																															
26353																																																															
26354																																																															
26355																																																															
########	########	########	########	########	########	########																																																									
																																																															
########	技能709	########	26401---26450		########	########																																																									
26401																																																															
26402																																																															
26403																																																															
26404																																																															
26405																																																															
########	########	########	########	########	########	########																																																									
																																																															
########	技能710	########	26451---26500		########	########																																																									
26451																																																															
26452																																																															
26453																																																															
26454																																																															
26455																																																															
########	########	########	########	########	########	########																																																									
																																																															
########	技能711	########	26501---26550		########	########																																																									
26501																																																															
26502																																																															
26503																																																															
26504																																																															
26505																																																															
########	########	########	########	########	########	########																																																									
																																																															
########	技能712	########	26551---26600		########	########																																																									
26551																																																															
26552																																																															
26553																																																															
26554																																																															
26555																																																															
########	########	########	########	########	########	########																																																									
																																																															
########	技能713	########	26601---26650		########	########																																																									
26601																																																															
26602																																																															
26603																																																															
26604																																																															
26605																																																															
########	########	########	########	########	########	########																																																									
																																																															
########	技能714	########	26651---26700		########	########																																																									
26651																																																															
26652																																																															
26653																																																															
26654																																																															
26655																																																															
########	########	########	########	########	########	########																																																									
																																																															
########	技能715	########	26701---26750		########	########																																																									
26701																																																															
26702																																																															
26703																																																															
26704																																																															
26705																																																															
########	########	########	########	########	########	########																																																									
																																																															
########	技能716	########	26751---26800		########	########																																																									
26751																																																															
26752																																																															
26753																																																															
26754																																																															
26755																																																															
########	########	########	########	########	########	########																																																									
																																																															
########	技能717	########	26801---26850		########	########																																																									
26801	10	DOT伤害	StdImpact010	1	1001	-1	26801	-1	0	1	0	0	0	0	0	0	0	20000	20000	0	0	0	0	0	子效果1的DataIndex	5	子效果2的DataIndex	-1					子效果3的DataIndex	-1	子效果4的DataIndex	-1	子效果5的DataIndex	-1	子效果6的DataIndex	-1	子效果7的DataIndex	-1	子效果10的DataIndex	-1	子效果11的DataIndex	-1	子效果12的DataIndex	-1	子效果13的DataIndex	-1	子效果14的DataIndex	-1	子效果15的DataIndex	-1	子效果16的DataIndex	-1					韦陀杵HPDOT1	0	0
26802	10	DOT伤害	StdImpact010	1	1001	-1	26802	-1	0	1	0	0	0	0	0	0	0	20000	20000	0	0	0	0	0	子效果1的DataIndex	5	子效果2的DataIndex	-1					子效果3的DataIndex	-1	子效果4的DataIndex	-1	子效果5的DataIndex	-1	子效果6的DataIndex	-1	子效果7的DataIndex	-1	子效果10的DataIndex	-1	子效果11的DataIndex	-1	子效果12的DataIndex	-1	子效果13的DataIndex	-1	子效果14的DataIndex	-1	子效果15的DataIndex	-1	子效果16的DataIndex	-1					韦陀杵HPDOT1	0	0
26803	10	DOT伤害	StdImpact010	1	1001	-1	26803	-1	0	1	0	0	0	0	0	0	0	20000	20000	0	0	0	0	0	子效果1的DataIndex	5	子效果2的DataIndex	-1					子效果3的DataIndex	-1	子效果4的DataIndex	-1	子效果5的DataIndex	-1	子效果6的DataIndex	-1	子效果7的DataIndex	-1	子效果10的DataIndex	-1	子效果11的DataIndex	-1	子效果12的DataIndex	-1	子效果13的DataIndex	-1	子效果14的DataIndex	-1	子效果15的DataIndex	-1	子效果16的DataIndex	-1					韦陀杵HPDOT1	0	0
26804	10	DOT伤害	StdImpact010	1	1001	-1	26804	-1	0	1	0	0	0	0	0	0	0	20000	20000	0	0	0	0	0	子效果1的DataIndex	5	子效果2的DataIndex	-1					子效果3的DataIndex	-1	子效果4的DataIndex	-1	子效果5的DataIndex	-1	子效果6的DataIndex	-1	子效果7的DataIndex	-1	子效果10的DataIndex	-1	子效果11的DataIndex	-1	子效果12的DataIndex	-1	子效果13的DataIndex	-1	子效果14的DataIndex	-1	子效果15的DataIndex	-1	子效果16的DataIndex	-1					韦陀杵HPDOT1	0	0
26805	10	DOT伤害	StdImpact010	1	1001	-1	26805	-1	0	1	0	0	0	0	0	0	0	20000	20000	0	0	0	0	0	子效果1的DataIndex	5	子效果2的DataIndex	-1					子效果3的DataIndex	-1	子效果4的DataIndex	-1	子效果5的DataIndex	-1	子效果6的DataIndex	-1	子效果7的DataIndex	-1	子效果10的DataIndex	-1	子效果11的DataIndex	-1	子效果12的DataIndex	-1	子效果13的DataIndex	-1	子效果14的DataIndex	-1	子效果15的DataIndex	-1	子效果16的DataIndex	-1					韦陀杵HPDOT1	0	0
########	########	########	########	########	########	########																																																									
																																																															
########	技能718	########	26851---26900		########	########																																																									
26851																																																															
26852																																																															
26853																																																															
26854																																																															
26855																																																															
########	########	########	########	########	########	########																																																									
																																																															
########	技能719	########	26901---26950		########	########																																																									
26901																																																															
26902																																																															
26903																																																															
26904																																																															
26905																																																															
########	########	########	########	########	########	########																																																									
																																																															
########	技能720	########	26951---27000		########	########																																																									
26951																																																															
26952																																																															
26953																																																															
26954																																																															
26955																																																															
########	########	########	########	########	########	########																																																									
																																																															
########	########	########	########	########																																																											
########	陷阱唐技	27001---28000		########																																																											
########	########	########	########	########																																																											
																																																															
########	技能801	########	27001---27050		########	########																																																									
27001																																																															
27002																																																															
27003																																																															
27004																																																															
27005																																																															
########	########	########	########	########	########	########																																																									
																																																															
########	技能802	########	27051---27100		########	########																																																									
27051	3	伤害	StdImpact003	0	1001	-1	27051	-1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	远程内功伤害值	120	远程外功伤害值	0	近程内功伤害值	0	近程外功伤害值	0	金伤害	0	木伤害	0	水伤害	0	火伤害	0	土伤害	0																					
27052	3	伤害	StdImpact003	0	1001	-1	27052	-1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	远程内功伤害值	120	远程外功伤害值	0	近程内功伤害值	0	近程外功伤害值	0	金伤害	0	木伤害	0	水伤害	0	火伤害	0	土伤害	0																					
27053	3	伤害	StdImpact003	0	1001	-1	27053	-1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	远程内功伤害值	120	远程外功伤害值	0	近程内功伤害值	0	近程外功伤害值	0	金伤害	0	木伤害	0	水伤害	0	火伤害	0	土伤害	0																					
27054	3	伤害	StdImpact003	0	1001	-1	27054	-1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	远程内功伤害值	120	远程外功伤害值	0	近程内功伤害值	0	近程外功伤害值	0	金伤害	0	木伤害	0	水伤害	0	火伤害	0	土伤害	0																					
27055	3	伤害	StdImpact003	0	1001	-1	27055	-1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	远程内功伤害值	120	远程外功伤害值	0	近程内功伤害值	0	近程外功伤害值	0	金伤害	0	木伤害	0	水伤害	0	火伤害	0	土伤害	0																					
########	########	########	########	########	########	########																																																									
																																																															
########	技能803	########	27101---27150		########	########																																																									
27101																																																															
27102																																																															
27103																																																															
27104																																																															
27105																																																															
########	########	########	########	########	########	########																																																									
																																																															
########	技能804	########	27151---27200		########	########																																																									
27151																																																															
27152																																																															
27153																																																															
27154																																																															
27155																																																															
########	########	########	########	########	########	########																																																									
																																																															
########	技能805	########	27201---27250		########	########																																																									
27201																																																															
27202																																																															
27203																																																															
27204																																																															
27205																																																															
########	########	########	########	########	########	########																																																									
																																																															
########	技能806	########	27251---27300		########	########																																																									
27251																																																															
27252																																																															
27253																																																															
27254																																																															
27255																																																															
########	########	########	########	########	########	########																																																									
																																																															
########	技能807	########	27301---27350		########	########																																																									
27301																																																															
27302																																																															
27303																																																															
27304																																																															
27305																																																															
########	########	########	########	########	########	########																																																									
																																																															
########	技能808	########	27351---27400		########	########																																																									
27351																																																															
27352																																																															
27353																																																															
27354																																																															
27355																																																															
########	########	########	########	########	########	########																																																									
																																																															
########	技能809	########	27401---27450		########	########																																																									
27401	3	伤害	StdImpact003	0	1001	-1	27401	-1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	远程内功伤害值	200	远程外功伤害值	0	近程内功伤害值	0	近程外功伤害值	0	金伤害	0	木伤害	0	水伤害	0	火伤害	0	土伤害	0																					
27402	3	伤害	StdImpact003	0	1001	-1	27402	-1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	远程内功伤害值	200	远程外功伤害值	0	近程内功伤害值	0	近程外功伤害值	0	金伤害	0	木伤害	0	水伤害	0	火伤害	0	土伤害	0																					
27403	3	伤害	StdImpact003	0	1001	-1	27403	-1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	远程内功伤害值	200	远程外功伤害值	0	近程内功伤害值	0	近程外功伤害值	0	金伤害	0	木伤害	0	水伤害	0	火伤害	0	土伤害	0																					
