INT	STRING	STRING	INT	STRING	STRING	STRING	STRING	STRING
3256	马车夫赵望京	贯彻万里地，弹指一挥间。	-1	300412|300413|300414|300415|300416|300417|300418|300419|300420|300421|300447|300448|300449|300450|300451|300452|300453				
3257	马车夫赵高碑	贯彻万里地，弹指一挥间。	-1	300412|300413|300414|300415|300416|300417|300419|300420|300421|300447|300448|300449|300450|300451|300452|300453				
3258	马车夫赵正阳	贯彻万里地，弹指一挥间。	-1	300412|300413|300414|300415|300416|300417|300418|300420|300421|300447|300448|300449|300450|300451|300452|300453				
3259	马车夫赵出京	贯彻万里地，弹指一挥间。	-1	300412|300413|300414|300415|300416|300417|300418|300419|300421|300447|300448|300449|300450|300451|300452|300453				
3260	马车夫赵卫戍	贯彻万里地，弹指一挥间。	-1	300412|300413|300414|300415|300416|300418|300419|300420|300447|300448|300449|300450|300451|300452|300453				
3261	大都苏鲁锭	需要帮助么？	-1					
3262	车夫	不要被看来容易的道路所迷惑，因为只有划破脚的坎坷路才是人生惟一向前的道路。	-1	199998				
3263	楚留香	有困难找盗帅，有问题找盗帅！我是个很帅的导游……	-1	100001|100002|100006|100007|100015|100016|100017|100018|100019|100020|100021|100026|100027|110001				
3264	傻姑	桃花岛最好了！风景好！爷爷待我也好……	-1	100000|100002|100003|100022|100027|199999				
3265	陈玄风	师傅不计前嫌，我一定要为他老人家出力，以报师恩！	-1	100004|100005|100022|100023|960002				
3266	程英	桃花武功深不可测，要多回来请教师傅和众位师兄。	-1	100006|100026|200000				
3267	装备升星师傅	给我个机会，我还你切金断玉的兵器！	-1	100007|100008|100009				
3268	装备打孔师傅	想你盾更坚矛更利，我会为你做好一切准备的。	-1	100009|100010|100011|800000				
3269	修理师傅	铠甲旧了？兵刃顿了？我来帮你料理它们，包您满意！	-1	100011|100012|100013				
3270	灵魂镶嵌师	我是麻将迷！我是麻将迷！知不知道兵器装备还可以进行麻将镶嵌？想象一下和牌的快感，你杀敌的时候会有一样的爽快！	-1	100013|100014|100015|800005|800004				
3271	郎朗		-1					
3272	陆冠英	学艺不精啊……惭愧惭愧……何时才能赶上同门呢？	-1	100025				
3273	柯镇恶	我的六位师弟是我最大的牵挂，人送我们绰号“江南七怪”。	-1	110001|110002				
3274	韩小莹	我知道五师兄对我的一片深情，我何尝不是……	-1	110002|110003				
3275	张阿生	兄弟情义，儿女情长，人之常情啊……	-1	110003|110004				
3276	全金发	行侠仗义，扶危济困乃我辈学武之人的本分！	-1	110004				
3277	金小七	我要我的轮椅~	-1	211052				
3278	酸书生	孔曰成仁，孟曰取义	-1					
3279	穷乞丐	有钱时，我就是大爷；没钱时，我就是孙子了。。。	-1					
3280	书呆子	孔曰成仁，孟曰取义	-1					
3281	要饭儿	怎么满大街都是同行呢。。	-1					
3282	郎郎		-1					
3283	郎郎		-1					
3284	郎郎		-1					
3285	郎郎		-1					
3286	郎郎		-1					
3287	郎郎		-1					
3288	郎郎		-1					
3289	郎郎		-1					
3290	郎郎		-1					
3291	郎郎		-1					
3292	郎郎		-1					
3293	郎郎		-1					
3294	郎郎		-1					
3295	郎郎		-1					
3296	郎郎		-1					
3297	郎郎		-1					
3298	郎郎		-1					
3299	郎郎		-1					
3300	郎郎		-1					
3301	郎郎		-1					
3302	郎郎		-1					
3303	郎郎		-1					
3304	郎郎		-1					
3305	郎郎		-1					
3306	郎郎		-1					
3307	郎郎		-1					
3308	郎郎		-1					
3309	郎郎		-1					
3310	郎郎		-1					
3311	郎郎		-1					
3312	郎郎		-1					
3313	郎郎		-1					
3314	郎郎		-1					
3315	郎郎		-1					
3316	郎郎		-1					
3317	郎郎		-1					
3318	郎郎		-1					
3319	郎郎		-1					
3320	郎郎		-1					
3321	郎郎		-1					
3322	郎郎		-1					
3323	郎郎		-1					
3324	郎郎		-1					
3325	郎郎		-1					
3326	郎郎		-1					
3327	郎郎		-1					
3328	郎郎		-1					
3329	郎郎		-1					
3330	郎郎		-1					
3331	郎郎		-1					
3332	郎郎		-1					
3333	郎郎		-1					
3334	郎郎		-1					
3335	郎郎		-1					
3336	郎郎		-1					
3337	郎郎		-1					
3338	郎郎		-1					
3339	郎郎		-1					
3340	郎郎		-1					
3341	郎郎		-1					
3342	郎郎		-1					
3343	郎郎		-1					
3344	郎郎		-1					
3345	郎郎		-1					
3346	郎郎		-1					
3347	郎郎		-1					
3348	郎郎		-1					
3349	郎郎		-1					
3350	郎郎		-1					
3351	郎郎		-1					
3352	郎郎		-1					
3353	郎郎		-1					
3354	郎郎		-1					
3355	郎郎		-1					
3356	郎郎		-1					
3357	郎郎		-1					
3358	郎郎		-1					
3359	郎郎		-1					
3360	郎郎		-1					
3361	郎郎		-1					
3362	郎郎		-1					
3363	郎郎		-1					
3364	郎郎		-1					
3365	郎郎		-1					
3366	郎郎		-1					
3367	郎郎		-1					
3368	郎郎		-1					
3369	郎郎		-1					
3370	郎郎		-1					
3371	郎郎		-1					
3372	郎郎		-1					
3373	郎郎		-1					
3374	郎郎		-1					
3375	郎郎		-1					
3376	郎郎		-1					
3377	郎郎		-1					
3378	郎郎		-1					
3379	郎郎		-1					
3380	郎郎		-1					
3381	郎郎		-1					
3382	郎郎		-1					
3383	郎郎		-1					
3384	郎郎		-1					
3385	郎郎		-1					
3386	郎郎		-1					
3387	郎郎		-1					
3388	郎郎		-1					
3389	郎郎		-1					
3390	郎郎		-1					
3391	郎郎		-1					
3392	郎郎		-1					
3393	郎郎		-1					
3394	郎郎		-1					
3395	郎郎		-1					
3396	郎郎		-1					
3397	郎郎		-1					
3398	郎郎		-1					
3399	郎郎		-1					
3400	郎郎		-1					
3401	郎郎		-1					
4000	章瞬昭	贯彻万里地，弹指一挥间。	-1	300423|300424|300425|300426|300427|300428|300429|300430|300431|300432|300435|300436|300437|300438|300439|300440|300441|300442|300443|300444|300445|300446				
4001	刘云飞	贯彻万里地，弹指一挥间。	-1	300423|300424|300425|300426|300427|300428|300429|300430|300431|300432|300434|300436|300437|300438|300439|300440|300441|300442|300443|300444|300445|300446				
4002	谢新友	贯彻万里地，弹指一挥间。	-1	300423|300424|300425|300426|300427|300428|300429|300430|300431|300432|300434|300435|300437|300438|300439|300440|300441|300442|300443|300444|300445|300446				
4003	徐翔英	贯彻万里地，弹指一挥间。	-1	300423|300424|300425|300426|300427|300428|300429|300430|300431|300432|300434|300435|300436|300438|300439|300440|300441|300442|300443|300444|300445|300446				
4004	秦阳	贯彻万里地，弹指一挥间。	-1	300423|300424|300425|300426|300427|300428|300429|300430|300431|300432|300434|300435|300436|300437|300439|300440|300441|300442|300443|300444|300445|300446				
4005	登云	贯彻万里地，弹指一挥间。	-1	300423|300424|300425|300426|300427|300428|300429|300430|300431|300432|300434|300435|300436|300437|300438|300440|300441|300442|300443|300444|300445|300446				
4006	曲风	贯彻万里地，弹指一挥间。	-1	300423|300424|300425|300426|300427|300428|300429|300430|300431|300432|300434|300435|300436|300437|300438|300439|300441|300442|300443|300444|300445|300446				
4007	游天	贯彻万里地，弹指一挥间。	-1	300423|300424|300425|300426|300427|300428|300429|300430|300431|300432|300434|300435|300436|300437|300438|300439|300440|300442|300443|300444|300445|300446				
4008	游龙	贯彻万里地，弹指一挥间。	-1	300423|300424|300425|300426|300427|300428|300429|300430|300431|300432|300434|300435|300436|300437|300438|300439|300440|300441|300443|300444|300445|300446				
4009	张旭	贯彻万里地，弹指一挥间。	-1	300423|300424|300425|300426|300427|300428|300429|300430|300431|300432|300434|300435|300436|300437|300438|300439|300440|300441|300442|300444|300445|300446				
4010	张晟	贯彻万里地，弹指一挥间。	-1	300423|300424|300425|300426|300427|300428|300429|300430|300431|300432|300434|300435|300436|300437|300438|300439|300440|300441|300442|300443|300445|300446				
4011	吴毅	贯彻万里地，弹指一挥间。	-1	300423|300424|300425|300426|300427|300428|300429|300430|300431|300432|300434|300435|300436|300437|300438|300439|300440|300441|300442|300443|300444|300446				
4012	胡亮	贯彻万里地，弹指一挥间。	-1	300423|300424|300425|300426|300427|300428|300429|300430|300431|300432|300434|300435|300436|300437|300438|300439|300440|300441|300442|300443|300444|300445				
4013	陶行	贯彻万里地，弹指一挥间。	-1	300412|300413|300414|300415|300416|300417|300418|300419|300420|300421|300448|300449|300450|300451|300452|300453				
4014	陈可欣	贯彻万里地，弹指一挥间。	-1	300412|300413|300414|300415|300416|300417|300418|300419|300420|300421|300447|300449|300450|300451|300452|300453				
4015	鲍安	贯彻万里地，弹指一挥间。	-1	300412|300413|300414|300415|300416|300417|300418|300419|300420|300421|300447|300448|300450|300451|300452|300453				
4016	杜朗明	贯彻万里地，弹指一挥间。	-1	300412|300413|300414|300415|300416|300417|300418|300419|300420|300421|300447|300448|300449|300451|300452|300453				
4017	平池	贯彻万里地，弹指一挥间。	-1	300412|300413|300414|300415|300416|300417|300418|300419|300420|300421|300447|300448|300449|300450|300452|300453				
4018	周必还	贯彻万里地，弹指一挥间。	-1	300412|300413|300414|300415|300416|300417|300418|300419|300420|300421|300447|300448|300449|300450|300451|300453				
4019	吴飞穹	贯彻万里地，弹指一挥间。	-1	300412|300413|300414|300415|300416|300417|300418|300419|300420|300421|300447|300448|300449|300450|300451|300452				
4020	海岸苏鲁锭	需要帮助么？	-1					
9077	我是任务NPC	武侠世界2测试。	-1	211046|211047|211048|211041|800000|800001|800002|800004|800005|800017|800016|500001|500002|500003|500004				
9079	财主	我为富不仁？地主家也没有余粮啊！	-1					
9080	黄药师	人人叫我黄老邪，可叹啊！知音难觅……	-1	100003|100004|100005|100023|100024|100025|960001|960002|960003|960004|700004|700101|920001				
9082	和尚	阿弥陀佛，施主，老衲建议您广结善缘。	-1					
9083	村民	多么宁静的村子，我很享受。	-1	970014				
9084	黄蓉	芙儿呢？襄儿呢？这两个孩子啊，真应该让靖哥哥管教管教。	-1	960004				
9085	饰品店老板	我这里的小玩意儿可多着呢，客官要不要来点儿？	-1					
9086	尼姑	我不是云游天下的高人，我只是一个修习佛法的尼姑。	-1	520001|520002|520003|520004				
9087	侠客	我不是大侠，我不会武功！	-1					
9088	乞丐	可怜可怜我这要饭的花子吧……	-1					
9089	儒生	人之初，性本善，性相近……	-1					
9090	时装店掌柜	最流行的大侠装，最好用的大侠装。想知道大侠流行穿什么，找我！	-1	300331|970003|970004|970005				
9091	侠客	行侠仗义，扶危济困，实为我辈之举。	-1					
9092	赵四娘	当家的把家安在了村外，但是我还是想回村去住，邻里有个照应。	-1	970013				
9097	黑衣人	哼哼哼！武侠世界很快就是我们的了……	-1	100024|970018|970019|970020				
9098	驿站	我经常往返村子和苏州城之间，可是见过大世面的人！	-1	970021|999999				
9099	药品店掌柜	金创药、解毒药、补益药、成仙药都来找我买！	-1	300338|970007|970008|970009				
9100	瘦儒生	子曰：学而时习之……	-1					
9101	圣手医师	头疼脑热，天花麻疹，砍头断臂我都能治，哈哈哈哈！	-1	970016				
9102	杂货商人	我叫万宝全，什么都有，客官要点什么？	-1	211041				
9104	武器店掌柜	我不是大侠，却有大侠要用的各种兵器，精品大酬宾啊！	-1	300322|970005|970006|970007				
9110	村长	一村之长，官职不大，责任重大啊！	-1	970002|970003|970010|970011|970012|970013|999998|211000|211035|500001|500002|500003|500004|300339|211044|211017|500005|500010|500011				
9113	村夫	人之初，性本善，性相近……	-1	510001|510002|510003|510004|510005|510006|510007				
9114	妇女	看天气要下雨了，也不知道当家的穿没穿蓑衣。						
9115	多隆	我对大人的敬仰有如滔滔江水连绵不绝，又像黄河泛滥一发不可收拾。	-1	970000|970001|970002|970014|970015|970016|970017|970018|970020|970021|211044				
9116	乞丐	鸡腿……包子……	-1					
9117	仓库掌柜	场地宽阔，保管妥善，有什么我都能存！	-1	970009|999998				
9118	老乞丐	鸡腿……包子……	-1					
9119	老叟	鸡腿……包子……	-1					
9120	小偷	我真已经洗手不干了！	-1					
9126	阿珠	没有钱还想出国旅游	-1	700102				
