INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
86	66821	238108	66821	238108	66821	238108	66821	238108	66821	238108	66821	238108	66821	238108	66821	238108	66821	238108	66821	238108	66821	238108	66821	238108	66821	238108	66821	238108	66821	238108	66821	238108	66821	238108	66821	238108	66821	238108	66821	238108	66821	238108	66821	238108	66821	238108	66821	238108	66821	238108	66821	238108	66821	238108	66821	238108	66821	238108	66821	238108	66821	238108	66821	238108	66821	238108	66821	238108	66821	238108	66821	238108	66821	238108	66821	238108	66821	238108	66821	238108	66821	238108	66821	238108	66821	238108	66821	238108	66821	238108	66821	238108	66821	238108	66821	238108	66821	238108	66821	238108	66821	238108	66821	238108	66821	238108	66821	238108
87	68247	247237	68247	247237	68247	247237	68247	247237	68247	247237	68247	247237	68247	247237	68247	247237	68247	247237	68247	247237	68247	247237	68247	247237	68247	247237	68247	247237	68247	247237	68247	247237	68247	247237	68247	247237	68247	247237	68247	247237	68247	247237	68247	247237	68247	247237	68247	247237	68247	247237	68247	247237	68247	247237	68247	247237	68247	247237	68247	247237	68247	247237	68247	247237	68247	247237	68247	247237	68247	247237	68247	247237	68247	247237	68247	247237	68247	247237	68247	247237	68247	247237	68247	247237	68247	247237	68247	247237	68247	247237	68247	247237	68247	247237	68247	247237	68247	247237	68247	247237	68247	247237	68247	247237	68247	247237	68247	247237
88	69691	256600	69691	256600	69691	256600	69691	256600	69691	256600	69691	256600	69691	256600	69691	256600	69691	256600	69691	256600	69691	256600	69691	256600	69691	256600	69691	256600	69691	256600	69691	256600	69691	256600	69691	256600	69691	256600	69691	256600	69691	256600	69691	256600	69691	256600	69691	256600	69691	256600	69691	256600	69691	256600	69691	256600	69691	256600	69691	256600	69691	256600	69691	256600	69691	256600	69691	256600	69691	256600	69691	256600	69691	256600	69691	256600	69691	256600	69691	256600	69691	256600	69691	256600	69691	256600	69691	256600	69691	256600	69691	256600	69691	256600	69691	256600	69691	256600	69691	256600	69691	256600	69691	256600	69691	256600	69691	256600
89	71152	266200	71152	266200	71152	266200	71152	266200	71152	266200	71152	266200	71152	266200	71152	266200	71152	266200	71152	266200	71152	266200	71152	266200	71152	266200	71152	266200	71152	266200	71152	266200	71152	266200	71152	266200	71152	266200	71152	266200	71152	266200	71152	266200	71152	266200	71152	266200	71152	266200	71152	266200	71152	266200	71152	266200	71152	266200	71152	266200	71152	266200	71152	266200	71152	266200	71152	266200	71152	266200	71152	266200	71152	266200	71152	266200	71152	266200	71152	266200	71152	266200	71152	266200	71152	266200	71152	266200	71152	266200	71152	266200	71152	266200	71152	266200	71152	266200	71152	266200	71152	266200	71152	266200	71152	266200	71152	266200
90	72631	276040	72631	276040	72631	276040	72631	276040	72631	276040	72631	276040	72631	276040	72631	276040	72631	276040	72631	276040	72631	276040	72631	276040	72631	276040	72631	276040	72631	276040	72631	276040	72631	276040	72631	276040	72631	276040	72631	276040	72631	276040	72631	276040	72631	276040	72631	276040	72631	276040	72631	276040	72631	276040	72631	276040	72631	276040	72631	276040	72631	276040	72631	276040	72631	276040	72631	276040	72631	276040	72631	276040	72631	276040	72631	276040	72631	276040	72631	276040	72631	276040	72631	276040	72631	276040	72631	276040	72631	276040	72631	276040	72631	276040	72631	276040	72631	276040	72631	276040	72631	276040	72631	276040	72631	276040	72631	276040
91	89113	286123	89113	286123	89113	286123	89113	286123	89113	286123	89113	286123	89113	286123	89113	286123	89113	286123	89113	286123	89113	286123	89113	286123	89113	286123	89113	286123	89113	286123	89113	286123	89113	286123	89113	286123	89113	286123	89113	286123	89113	286123	89113	286123	89113	286123	89113	286123	89113	286123	89113	286123	89113	286123	89113	286123	89113	286123	89113	286123	89113	286123	89113	286123	89113	286123	89113	286123	89113	286123	89113	286123	89113	286123	89113	286123	89113	286123	89113	286123	89113	286123	89113	286123	89113	286123	89113	286123	89113	286123	89113	286123	89113	286123	89113	286123	89113	286123	89113	286123	89113	286123	89113	286123	89113	286123	89113	286123
92	90808	296452	90808	296452	90808	296452	90808	296452	90808	296452	90808	296452	90808	296452	90808	296452	90808	296452	90808	296452	90808	296452	90808	296452	90808	296452	90808	296452	90808	296452	90808	296452	90808	296452	90808	296452	90808	296452	90808	296452	90808	296452	90808	296452	90808	296452	90808	296452	90808	296452	90808	296452	90808	296452	90808	296452	90808	296452	90808	296452	90808	296452	90808	296452	90808	296452	90808	296452	90808	296452	90808	296452	90808	296452	90808	296452	90808	296452	90808	296452	90808	296452	90808	296452	90808	296452	90808	296452	90808	296452	90808	296452	90808	296452	90808	296452	90808	296452	90808	296452	90808	296452	90808	296452	90808	296452	90808	296452
93	92523	307030	92523	307030	92523	307030	92523	307030	92523	307030	92523	307030	92523	307030	92523	307030	92523	307030	92523	307030	92523	307030	92523	307030	92523	307030	92523	307030	92523	307030	92523	307030	92523	307030	92523	307030	92523	307030	92523	307030	92523	307030	92523	307030	92523	307030	92523	307030	92523	307030	92523	307030	92523	307030	92523	307030	92523	307030	92523	307030	92523	307030	92523	307030	92523	307030	92523	307030	92523	307030	92523	307030	92523	307030	92523	307030	92523	307030	92523	307030	92523	307030	92523	307030	92523	307030	92523	307030	92523	307030	92523	307030	92523	307030	92523	307030	92523	307030	92523	307030	92523	307030	92523	307030	92523	307030	92523	307030
94	94259	317860	94259	317860	94259	317860	94259	317860	94259	317860	94259	317860	94259	317860	94259	317860	94259	317860	94259	317860	94259	317860	94259	317860	94259	317860	94259	317860	94259	317860	94259	317860	94259	317860	94259	317860	94259	317860	94259	317860	94259	317860	94259	317860	94259	317860	94259	317860	94259	317860	94259	317860	94259	317860	94259	317860	94259	317860	94259	317860	94259	317860	94259	317860	94259	317860	94259	317860	94259	317860	94259	317860	94259	317860	94259	317860	94259	317860	94259	317860	94259	317860	94259	317860	94259	317860	94259	317860	94259	317860	94259	317860	94259	317860	94259	317860	94259	317860	94259	317860	94259	317860	94259	317860	94259	317860	94259	317860
95	96014	328945	96014	328945	96014	328945	96014	328945	96014	328945	96014	328945	96014	328945	96014	328945	96014	328945	96014	328945	96014	328945	96014	328945	96014	328945	96014	328945	96014	328945	96014	328945	96014	328945	96014	328945	96014	328945	96014	328945	96014	328945	96014	328945	96014	328945	96014	328945	96014	328945	96014	328945	96014	328945	96014	328945	96014	328945	96014	328945	96014	328945	96014	328945	96014	328945	96014	328945	96014	328945	96014	328945	96014	328945	96014	328945	96014	328945	96014	328945	96014	328945	96014	328945	96014	328945	96014	328945	96014	328945	96014	328945	96014	328945	96014	328945	96014	328945	96014	328945	96014	328945	96014	328945	96014	328945	96014	328945
96	116645	340288	116645	340288	116645	340288	116645	340288	116645	340288	116645	340288	116645	340288	116645	340288	116645	340288	116645	340288	116645	340288	116645	340288	116645	340288	116645	340288	116645	340288	116645	340288	116645	340288	116645	340288	116645	340288	116645	340288	116645	340288	116645	340288	116645	340288	116645	340288	116645	340288	116645	340288	116645	340288	116645	340288	116645	340288	116645	340288	116645	340288	116645	340288	116645	340288	116645	340288	116645	340288	116645	340288	116645	340288	116645	340288	116645	340288	116645	340288	116645	340288	116645	340288	116645	340288	116645	340288	116645	340288	116645	340288	116645	340288	116645	340288	116645	340288	116645	340288	116645	340288	116645	340288	116645	340288	116645	340288
97	118635	351892	118635	351892	118635	351892	118635	351892	118635	351892	118635	351892	118635	351892	118635	351892	118635	351892	118635	351892	118635	351892	118635	351892	118635	351892	118635	351892	118635	351892	118635	351892	118635	351892	118635	351892	118635	351892	118635	351892	118635	351892	118635	351892	118635	351892	118635	351892	118635	351892	118635	351892	118635	351892	118635	351892	118635	351892	118635	351892	118635	351892	118635	351892	118635	351892	118635	351892	118635	351892	118635	351892	118635	351892	118635	351892	118635	351892	118635	351892	118635	351892	118635	351892	118635	351892	118635	351892	118635	351892	118635	351892	118635	351892	118635	351892	118635	351892	118635	351892	118635	351892	118635	351892	118635	351892	118635	351892
98	120648	363760	120648	363760	120648	363760	120648	363760	120648	363760	120648	363760	120648	363760	120648	363760	120648	363760	120648	363760	120648	363760	120648	363760	120648	363760	120648	363760	120648	363760	120648	363760	120648	363760	120648	363760	120648	363760	120648	363760	120648	363760	120648	363760	120648	363760	120648	363760	120648	363760	120648	363760	120648	363760	120648	363760	120648	363760	120648	363760	120648	363760	120648	363760	120648	363760	120648	363760	120648	363760	120648	363760	120648	363760	120648	363760	120648	363760	120648	363760	120648	363760	120648	363760	120648	363760	120648	363760	120648	363760	120648	363760	120648	363760	120648	363760	120648	363760	120648	363760	120648	363760	120648	363760	120648	363760	120648	363760
99	122684	375895	122684	375895	122684	375895	122684	375895	122684	375895	122684	375895	122684	375895	122684	375895	122684	375895	122684	375895	122684	375895	122684	375895	122684	375895	122684	375895	122684	375895	122684	375895	122684	375895	122684	375895	122684	375895	122684	375895	122684	375895	122684	375895	122684	375895	122684	375895	122684	375895	122684	375895	122684	375895	122684	375895	122684	375895	122684	375895	122684	375895	122684	375895	122684	375895	122684	375895	122684	375895	122684	375895	122684	375895	122684	375895	122684	375895	122684	375895	122684	375895	122684	375895	122684	375895	122684	375895	122684	375895	122684	375895	122684	375895	122684	375895	122684	375895	122684	375895	122684	375895	122684	375895	122684	375895	122684	375895
100	124743	388300	124743	388300	124743	388300	124743	388300	124743	388300	124743	388300	124743	388300	124743	388300	124743	388300	124743	388300	124743	388300	124743	388300	124743	388300	124743	388300	124743	388300	124743	388300	124743	388300	124743	388300	124743	388300	124743	388300	124743	388300	124743	388300	124743	388300	124743	388300	124743	388300	124743	388300	124743	388300	124743	388300	124743	388300	124743	388300	124743	388300	124743	388300	124743	388300	124743	388300	124743	388300	124743	388300	124743	388300	124743	388300	124743	388300	124743	388300	124743	388300	124743	388300	124743	388300	124743	388300	124743	388300	124743	388300	124743	388300	124743	388300	124743	388300	124743	388300	124743	388300	124743	388300	124743	388300	124743	388300
101	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000
102	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000
103	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000
104	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000
105	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000
106	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000
107	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000
108	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000
109	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000
110	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000
111	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000
112	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000
113	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000
114	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000
115	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000
116	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000
117	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000
118	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000
119	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000
120	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000	130000	420000
