INT	INT	INT	INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT	INT	INT	INT	INT	INT	STRING	STRING
																		
########	技能1305	########	32201---32250		########	########												
32201	32201		1															
32202	32202		1															
32203	32203		1															
32204	32204		1															
32205	32205		1															
########	########	########	########	########	########	########												
																		
########	技能1306	########	32251---32300		########	########												
32251	32251		1	WXSJ_skill_ditaohua_1_6			身体受击点			身体受击点	0	1	0	1				
########	########	########	########	########	########	########												
																		
########	技能1307	########	32301---32350		########	########												
32301	32301		1															
32302	32302		1															
32303	32303		1															
32304	32304		1															
32305	32305		1															
########	########	########	########	########	########	########												
																		
########	技能1308	########	32351---32400		########	########												
32351	32351		1	WXSJ_skill_ditaohua_1_8			身体受击点			身体受击点	0	1	0	1				
########	########	########	########	########	########	########												
																		
########	技能1309	########	32401---32450		########	########												
32401	32401		1	WXSJ_skill_ditaohua_1_9			身体受击点	sj_fuguzhen_01		身体受击点	0	1	0	1				
32402	32402		1	WXSJ_skill_ditaohua_1_9			身体受击点	sj_fuguzhen_01		身体受击点	0	1	0	1				
32403	32403		1	WXSJ_skill_ditaohua_1_9			身体受击点	sj_fuguzhen_01		身体受击点	0	1	0	1				
32404	32404		1	WXSJ_skill_ditaohua_1_9			身体受击点	sj_fuguzhen_01		身体受击点	0	1	0	1				
32405	32405		1	WXSJ_skill_ditaohua_1_9			身体受击点	sj_fuguzhen_01		身体受击点	0	1	0	1				
########	########	########	########	########	########	########												
																		
########	技能1310	########	32451---32500		########	########												
32451	32451		1															
32452	32452		1															
32453	32453		1															
32454	32454		1															
32455	32455		1															
########	########	########	########	########	########	########												
																		
########	技能1311	########	32501---32550		########	########												
32501	32501		1															
32502	32502		1															
32503	32503		1															
32504	32504		1															
32505	32505		1															
########	########	########	########	########	########	########												
																		
########	技能1312	########	32551---32600		########	########												
32551	32551		1															
32552	32552		1															
32553	32553		1															
32554	32554		1															
32555	32555		1															
########	########	########	########	########	########	########												
																		
########	技能1313	########	32601---32650		########	########												
32601	32601		1	WXSJ_skill_ditaohua_1_13			身体受击点	sj_shengshengbuxi_01		身体受击点	0	1	0	1				
32602	32602		1	WXSJ_skill_ditaohua_1_13			身体受击点	sj_shengshengbuxi_01		身体受击点	0	1	0	1				
32603	32603		1	WXSJ_skill_ditaohua_1_13			身体受击点	sj_shengshengbuxi_01		身体受击点	0	1	0	1				
32604	32604		1	WXSJ_skill_ditaohua_1_13			身体受击点	sj_shengshengbuxi_01		身体受击点	0	1	0	1				
32605	32605		1	WXSJ_skill_ditaohua_1_13			身体受击点	sj_shengshengbuxi_01		身体受击点	0	1	0	1				
########	########	########	########	########	########	########												
																		
########	技能1314	########	32651---32700		########	########												
32651	32651		1	WXSJ_skill_ditaohua_1_14	dzsf_lingyuxiao_01		身体受击点			身体受击点	0	1	0	1				
32652	32652		1	WXSJ_skill_ditaohua_1_14	dzsf_lingyuxiao_01		身体受击点			身体受击点	0	1	0	1				
32653	32653		1	WXSJ_skill_ditaohua_1_14	dzsf_lingyuxiao_01		身体受击点			身体受击点	0	1	0	1				
32654	32654		1	WXSJ_skill_ditaohua_1_14	dzsf_lingyuxiao_01		身体受击点			身体受击点	0	1	0	1				
32655	32655		1	WXSJ_skill_ditaohua_1_14	dzsf_lingyuxiao_01		身体受击点			身体受击点	0	1	0	1				
32656	32656		1	WXSJ_skill_ditaohua_1_14	dzsf_lingyuxiao_01		身体受击点			身体受击点	0	1	0	1				
32657	32657		1	WXSJ_skill_ditaohua_1_14	dzsf_lingyuxiao_01		身体受击点			身体受击点	0	1	0	1				
32658	32658		1	WXSJ_skill_ditaohua_1_14	dzsf_lingyuxiao_01		身体受击点			身体受击点	0	1	0	1				
32659	32659		1	WXSJ_skill_ditaohua_1_14	dzsf_lingyuxiao_01		身体受击点			身体受击点	0	1	0	1				
32660	32660		1	WXSJ_skill_ditaohua_1_14	dzsf_lingyuxiao_01		身体受击点			身体受击点	0	1	0	1				
########	########	########	########	########	########	########												
																		
########	技能1315	########	32701---32750		########	########												
32701	32701		1															
32702	32702		1															
32703	32703		1															
32704	32704		1															
32705	32705		1															
########	########	########	########	########	########	########												
																		
########	技能1316	########	32751---32800		########	########												
32751	32751		1	WXSJ_skill_ditaohua_1_16			身体受击点			身体受击点	0	1	0	1				
32752	32752		1	WXSJ_skill_ditaohua_1_16			身体受击点			身体受击点	0	1	0	1				
32753	32753		1	WXSJ_skill_ditaohua_1_16			身体受击点			身体受击点	0	1	0	1				
32754	32754		1	WXSJ_skill_ditaohua_1_16			身体受击点			身体受击点	0	1	0	1				
32755	32755		1	WXSJ_skill_ditaohua_1_16			身体受击点			身体受击点	0	1	0	1				
########	########	########	########	########	########	########												
																		
########	技能1317	########	32026---32050		########	########												
32026	32026		1	WXSJ_skill_ditaohua_2_1			身体受击点	sj_lanhuafuxueshou_01		身体受击点	0	1	0	1				
32027	32027		1	WXSJ_skill_ditaohua_2_1			身体受击点	sj_lanhuafuxueshou_01		身体受击点	0	1	0	1				
32028	32028		1	WXSJ_skill_ditaohua_2_1			身体受击点	sj_lanhuafuxueshou_01		身体受击点	0	1	0	1				
32029	32029		1	WXSJ_skill_ditaohua_2_1			身体受击点	sj_lanhuafuxueshou_01		身体受击点	0	1	0	1				
32030	32030		1	WXSJ_skill_ditaohua_2_1			身体受击点	sj_lanhuafuxueshou_01		身体受击点	0	1	0	1				
########	########	########	########	########	########	########												
																		
########	技能1318	########	32076---32100		########	########												
32076	32851		1	WXSJ_skill_ditaohua_2_2			身体受击点	sj_tiandijing_01		身体受击点	0	1	0	1				
32077	32852		1	WXSJ_skill_ditaohua_2_2			身体受击点	sj_tiandijing_01		身体受击点	0	1	0	1				
32078	32853		1	WXSJ_skill_ditaohua_2_2			身体受击点	sj_tiandijing_01		身体受击点	0	1	0	1				
32079	32854		1	WXSJ_skill_ditaohua_2_2			身体受击点	sj_tiandijing_01		身体受击点	0	1	0	1				
32080	32855		1	WXSJ_skill_ditaohua_2_2			身体受击点	sj_tiandijing_01		身体受击点	0	1	0	1				
########	########	########	########	########	########	########												
																		
########	技能1319	########	32126---32150		########	########												
32126	32126		1	WXSJ_skill_ditaohua_2_3			身体受击点	sj_guishenqi_01		身体受击点	0	1	0	1				
32127	32127		1	WXSJ_skill_ditaohua_2_3			身体受击点	sj_guishenqi_01		身体受击点	0	1	0	1				
32128	32128		1	WXSJ_skill_ditaohua_2_3			身体受击点	sj_guishenqi_01		身体受击点	0	1	0	1				
32129	32129		1	WXSJ_skill_ditaohua_2_3			身体受击点	sj_guishenqi_01		身体受击点	0	1	0	1				
32130	32130		1	WXSJ_skill_ditaohua_2_3			身体受击点	sj_guishenqi_01		身体受击点	0	1	0	1				
########	########	########	########	########	########	########												
																		
########	技能1320	########	32176---32200		########	########												
32176	32951		1	WXSJ_skill_ditaohua_2_4			身体受击点	sj_tanzhishentong_01		身体受击点	0	1	0	1				
32177	32952		1	WXSJ_skill_ditaohua_2_4			身体受击点	sj_tanzhishentong_01		身体受击点	0	1	0	1				
32178	32953		1	WXSJ_skill_ditaohua_2_4			身体受击点	sj_tanzhishentong_01		身体受击点	0	1	0	1				
32179	32954		1	WXSJ_skill_ditaohua_2_4			身体受击点	sj_tanzhishentong_01		身体受击点	0	1	0	1				
32180	32955		1	WXSJ_skill_ditaohua_2_4			身体受击点	sj_tanzhishentong_01		身体受击点	0	1	0	1				
########	########	########	########	########	########	########												
																		
########	########	########	########	########														
########	音桃花技	33001---34000		########														
########	########	########	########	########														
																		
########	技能1401	########	33001---33050		########	########												
33001	33001		1															
33002	33002		1															
33003	33003		1															
33004	33004		1															
33005	33005		1															
########	########	########	########	########	########	########												
																		
########	技能1402	########	33051---33100		########	########												
33051	33051		1															
33052	33052		1															
33053	33053		1															
33054	33054		1															
33055	33055		1															
33056	33056		1															
33057	33057		1															
33058	33058		1															
33059	33059		1															
33060	33060		1															
########	########	########	########	########	########	########												
																		
########	技能1403	########	33101---33150		########	########												
33101	33101		1															
33102	33102		1															
33103	33103		1															
33104	33104		1															
33105	33105		1															
########	########	########	########	########	########	########												
																		
########	技能1404	########	33151---33200		########	########												
20176	20176		1	WXSJ_skill_yintaohua_1_4			身体受击点	sj_rehairufei_01		脚部绑定点	0	1	0	1				
20177	20177		1	WXSJ_skill_yintaohua_1_4			身体受击点	sj_rehairufei_01		脚部绑定点	0	1	0	1				
20178	20178		1	WXSJ_skill_yintaohua_1_4			身体受击点	sj_rehairufei_01		脚部绑定点	0	1	0	1				
20179	20179		1	WXSJ_skill_yintaohua_1_4			身体受击点	sj_rehairufei_01		脚部绑定点	0	1	0	1				
20180	20180		1	WXSJ_skill_yintaohua_1_4			身体受击点	sj_rehairufei_01		脚部绑定点	0	1	0	1				
########	########	########	########	########	########	########												
																		
########	技能1405	########	33201---33250		########	########												
33201	33201		1															
33202	33202		1															
33203	33203		1															
33204	33204		1															
33205	33205		1															
########	########	########	########	########	########	########												
																		
########	技能1406	########	33251---33300		########	########												
33251	33251		1															
33252	33252		1															
33253	33253		1															
33254	33254		1															
33255	33255		1															
########	########	########	########	########	########	########												
																		
########	技能1407	########	33301---33350		########	########												
33301	33301		1	WXSJ_skill_yintaohua_1_7			身体受击点			身体受击点	0	1	0	1				
33302	33302		1	WXSJ_skill_yintaohua_1_7			身体受击点			身体受击点	0	1	0	1				
33303	33303		1	WXSJ_skill_yintaohua_1_7			身体受击点			身体受击点	0	1	0	1				
33304	33304		1	WXSJ_skill_yintaohua_1_7			身体受击点			身体受击点	0	1	0	1				
33305	33305		1	WXSJ_skill_yintaohua_1_7			身体受击点			身体受击点	0	1	0	1				
########	########	########	########	########	########	########												
																		
########	技能1408	########	33351---33400		########	########												
20376	20376		1	WXSJ_skill_yintaohua_1_8			身体受击点			身体受击点	0	1	0	1				
########	########	########	########	########	########	########												
																		
########	技能1409	########	33401---33450		########	########												
33401	33401		1															
33402	33402		1															
33403	33403		1															
33404	33404		1															
33405	33405		1															
########	########	########	########	########	########	########												
																		
########	技能1410	########	33451---33500		########	########												
33451	33451		1															
33452	33452		1															
33453	33453		1															
33454	33454		1															
33455	33455		1															
########	########	########	########	########	########	########												
																		
########	技能1411	########	33501---33550		########	########												
20526	20526		1	WXSJ_skill_yintaohua_1_11	cyzt_chixudiaoxue_01		身体受击点			身体受击点	0	1	0	1				
20527	20527		1	WXSJ_skill_yintaohua_1_11	cyzt_chixudiaoxue_01		身体受击点			身体受击点	0	1	0	1				
20528	20528		1	WXSJ_skill_yintaohua_1_11	cyzt_chixudiaoxue_01		身体受击点			身体受击点	0	1	0	1				
20529	20529		1	WXSJ_skill_yintaohua_1_11	cyzt_chixudiaoxue_01		身体受击点			身体受击点	0	1	0	1				
20530	20530		1	WXSJ_skill_yintaohua_1_11	cyzt_chixudiaoxue_01		身体受击点			身体受击点	0	1	0	1				
########	########	########	########	########	########	########												
																		
########	技能1412	########	33551---33600		########	########												
20576	20576		1	WXSJ_skill_yintaohua_1_12			身体受击点	sj_fengqiboxing_01		身体受击点	0	1	0	1				
########	########	########	########	########	########	########												
																		
########	技能1413	########	33601---33650		########	########												
20626	20626		1	WXSJ_skill_yintaohua_1_13			身体受击点			身体受击点	0	1	0	1				
20627	20627		1	WXSJ_skill_yintaohua_1_13			身体受击点			身体受击点	0	1	0	1				
20628	20628		1	WXSJ_skill_yintaohua_1_13			身体受击点			身体受击点	0	1	0	1				
20629	20629		1	WXSJ_skill_yintaohua_1_13			身体受击点			身体受击点	0	1	0	1				
20630	20630		1	WXSJ_skill_yintaohua_1_13			身体受击点			身体受击点	0	1	0	1				
########	########	########	########	########	########	########												
																		
########	技能1414	########	33651---33700		########	########												
33651	33651		1	WXSJ_skill_yintaohua_1_14			身体受击点			身体受击点	0	1	0	1				
33652	33652		1	WXSJ_skill_yintaohua_1_14			身体受击点			身体受击点	0	1	0	1				
33653	33653		1	WXSJ_skill_yintaohua_1_14			身体受击点			身体受击点	0	1	0	1				
33654	33654		1	WXSJ_skill_yintaohua_1_14			身体受击点			身体受击点	0	1	0	1				
33655	33655		1	WXSJ_skill_yintaohua_1_14			身体受击点			身体受击点	0	1	0	1				
########	########	########	########	########	########	########												
																		
########	技能1415	########	33701---33750		########	########												
33701	33701		1															
33702	33702		1															
33703	33703		1															
33704	33704		1															
33705	33705		1															
########	########	########	########	########	########	########												
																		
########	技能1416	########	33751---33800		########	########												
20776	20776		1	WXSJ_skill_yintaohua_1_16			身体受击点			身体受击点	0	1	0	1				
########	########	########	########	########	########	########												
																		
########	技能1417	########	33801---33850		########	########												
20826	20826		1	WXSJ_skill_yintaohua_2_1			身体受击点	cyzt_chixudiaoxue_01		身体受击点	0	1	0	1				
20827	20827		1	WXSJ_skill_yintaohua_2_1			身体受击点	cyzt_chixudiaoxue_01		身体受击点	0	1	0	1				
20828	20828		1	WXSJ_skill_yintaohua_2_1			身体受击点	cyzt_chixudiaoxue_01		身体受击点	0	1	0	1				
20829	20829		1	WXSJ_skill_yintaohua_2_1			身体受击点	cyzt_chixudiaoxue_01		身体受击点	0	1	0	1				
20830	20830		1	WXSJ_skill_yintaohua_2_1			身体受击点	cyzt_chixudiaoxue_01		身体受击点	0	1	0	1				
########	########	########	########	########	########	########												
																		
########	技能1418	########	33851---33900		########	########												
20876	20876		1	WXSJ_skill_yintaohua_2_2			身体受击点			身体受击点	0	1	0	1				
########	########	########	########	########	########	########												
																		
########	技能1419	########	33901---33950		########	########												
33901	33901		1															
33902	33902		1															
33903	33903		1															
33904	33904		1															
33905	33905		1															
########	########	########	########	########	########	########												
																		
########	技能1420	########	33951---34000		########	########												
20976	20976		1	WXSJ_skill_yintaohua_2_4			身体受击点	sf_bihaichaoshengqu_01		身体受击点	0	1	0	1				
########	########	########	########	########	########	########												
																		
########	########	########	########	########														
########	刺峨眉技	34001---35000		########														
########	########	########	########	########														
																		
########	技能1501	########	34001---34050		########	########												
34001	34001		1															
34002	34002		1															
34003	34003		1															
34004	34004		1															
34005	34005		1															
########	########	########	########	########	########	########												
																		
########	技能1502	########	34051---34100		########	########												
34051	34051		1															
34052	34052		1															
34053	34053		1															
34054	34054		1															
34055	34055		1															
########	########	########	########	########	########	########												
																		
########	技能1503	########	34101---34150		########	########												
34101	34101		1															
34102	34102		1															
34103	34103		1															
34104	34104		1															
34105	34105		1															
########	########	########	########	########	########	########												
																		
########	技能1504	########	34151---34200		########	########												
34151	34151		1															
34152	34152		1															
34153	34153		1															
34154	34154		1															
34155	34155		1															
34156	34156		1															
34157	34157		1															
34158	34158		1															
34159	34159		1															
34160	34160		1															
########	########	########	########	########	########	########												
																		
########	技能1505	########	34201---34250		########	########												
34201	34201		1															
34202	34202		1															
34203	34203		1															
34204	34204		1															
34205	34205		1															
########	########	########	########	########	########	########												
																		
########	技能1506	########	34251---34300		########	########												
34251	34251		1															
34252	34252		1															
34253	34253		1															
34254	34254		1															
34255	34255		1															
########	########	########	########	########	########	########												
																		
########	技能1507	########	34301---34350		########	########												
34301	34301		1															
34302	34302		1															
34303	34303		1															
34304	34304		1															
34305	34305		1															
########	########	########	########	########	########	########												
																		
########	技能1508	########	34351---34400		########	########												
34351	34351		1															
34352	34352		1															
34353	34353		1															
34354	34354		1															
34355	34355		1															
########	########	########	########	########	########	########												
																		
########	技能1509	########	34401---34450		########	########												
34401	34401		1															
34402	34402		1															
34403	34403		1															
34404	34404		1															
34405	34405		1															
########	########	########	########	########	########	########												
																		
########	技能1510	########	34451---34500		########	########												
34451	34451		1															
34452	34452		1															
34453	34453		1															
34454	34454		1															
34455	34455		1															
########	########	########	########	########	########	########												
																		
########	技能1511	########	34501---34550		########	########												
34501	34501		1															
34502	34502		1															
34503	34503		1															
34504	34504		1															
34505	34505		1															
########	########	########	########	########	########	########												
																		
########	技能1512	########	34551---34600		########	########												
34551	34551		1															
34552	34552		1															
34553	34553		1															
34554	34554		1															
34555	34555		1															
########	########	########	########	########	########	########												
																		
########	技能1513	########	34601---34650		########	########												
34601	34601		1															
34602	34602		1															
34603	34603		1															
34604	34604		1															
34605	34605		1															
########	########	########	########	########	########	########												
																		
########	技能1514	########	34651---34700		########	########												
34651	34651		1															
34652	34652		1															
34653	34653		1															
34654	34654		1															
34655	34655		1															
########	########	########	########	########	########	########												
																		
########	技能1515	########	34701---34750		########	########												
34701	34701		1															
34702	34702		1															
34703	34703		1															
34704	34704		1															
34705	34705		1															
########	########	########	########	########	########	########												
																		
########	技能1516	########	34751---34800		########	########												
34751	34751		1															
34752	34752		1															
34753	34753		1															
34754	34754		1															
34755	34755		1															
########	########	########	########	########	########	########												
																		
########	技能1517	########	34801---34850		########	########												
34801	34801		1															
34802	34802		1															
34803	34803		1															
34804	34804		1															
34805	34805		1															
34806	34806		1															
34807	34807		1															
34808	34808		1															
34809	34809		1															
34810	34810		1															
########	########	########	########	########	########	########												
																		
########	技能1518	########	34851---34900		########	########												
34851	34851		1															
34852	34852		1															
34853	34853		1															
34854	34854		1															
34855	34855		1															
########	########	########	########	########	########	########												
																		
########	技能1519	########	34901---34950		########	########												
34901	34901		1															
34902	34902		1															
34903	34903		1															
34904	34904		1															
34905	34905		1															
34906	34906		1															
34907	34907		1															
34908	34908		1															
34909	34909		1															
34910	34910		1															
########	########	########	########	########	########	########												
																		
########	技能1520	########	34951---35000		########	########												
34951	34951		1															
34952	34952		1															
34953	34953		1															
34954	34954		1															
34955	34955		1															
########	########	########	########	########	########	########												
																		
########	########	########	########	########														
########	辅峨眉技	35001---36000		########														
########	########	########	########	########														
																		
########	技能1601	########	35001---35050		########	########												
35001	35001		1															
35002	35002		1															
35003	35003		1															
35004	35004		1															
35005	35005		1															
########	########	########	########	########	########	########												
																		
########	技能1602	########	35051---35100		########	########												
35051	35051		1															
35052	35052		1															
35053	35053		1															
35054	35054		1															
35055	35055		1															
35056	35056		1															
35057	35057		1															
35058	35058		1															
35059	35059		1															
35060	35060		1															
########	########	########	########	########	########	########												
																		
########	技能1603	########	35101---35150		########	########												
35101	35101		1															
35102	35102		1															
35103	35103		1															
35104	35104		1															
35105	35105		1															
35106	35106		1															
35107	35107		1															
35108	35108		1															
35109	35109		1															
35110	35110		1															
########	########	########	########	########	########	########												
																		
########	技能1604	########	35151---35200		########	########												
35151	35151		1															
35152	35152		1															
35153	35153		1															
35154	35154		1															
35155	35155		1															
########	########	########	########	########	########	########												
																		
########	技能1605	########	35201---35250		########	########												
35201	35201		1															
35202	35202		1															
35203	35203		1															
35204	35204		1															
35205	35205		1															
########	########	########	########	########	########	########												
																		
########	技能1606	########	35251---35300		########	########												
35251	35251		1															
35252	35252		1															
35253	35253		1															
35254	35254		1															
35255	35255		1															
########	########	########	########	########	########	########												
																		
########	技能1607	########	35301---35350		########	########												
35301	35301		1															
35302	35302		1															
35303	35303		1															
35304	35304		1															
35305	35305		1															
########	########	########	########	########	########	########												
																		
########	技能1608	########	35351---35400		########	########												
35351	35351		1															
35352	35352		1															
35353	35353		1															
35354	35354		1															
35355	35355		1															
########	########	########	########	########	########	########												
																		
########	技能1609	########	35401---35450		########	########												
35401	35401		1															
35402	35402		1															
35403	35403		1															
35404	35404		1															
35405	35405		1															
########	########	########	########	########	########	########												
																		
########	技能1610	########	35451---35500		########	########												
35451	35451		1															
35452	35452		1															
35453	35453		1															
35454	35454		1															
35455	35455		1															
########	########	########	########	########	########	########												
																		
########	技能1611	########	35501---35550		########	########												
35501	35501		1															
35502	35502		1															
35503	35503		1															
35504	35504		1															
35505	35505		1															
########	########	########	########	########	########	########												
																		
########	技能1612	########	35551---35600		########	########												
35551	35551		1															
35552	35552		1															
35553	35553		1															
35554	35554		1															
35555	35555		1															
########	########	########	########	########	########	########												
																		
########	技能1613	########	35601---35650		########	########												
35601	35601		1															
35602	35602		1															
35603	35603		1															
35604	35604		1															
35605	35605		1															
########	########	########	########	########	########	########												
																		
########	技能1614	########	35651---35700		########	########												
35651	35651		1															
35652	35652		1															
35653	35653		1															
35654	35654		1															
35655	35655		1															
########	########	########	########	########	########	########												
																		
########	技能1615	########	35701---35750		########	########												
35701	35701		1															
35702	35702		1															
35703	35703		1															
35704	35704		1															
35705	35705		1															
########	########	########	########	########	########	########												
																		
########	技能1616	########	35751---35800		########	########												
35751	35751		1															
35752	35752		1															
35753	35753		1															
35754	35754		1															
35755	35755		1															
########	########	########	########	########	########	########												
																		
########	技能1617	########	35801---35850		########	########												
35801	35801		1															
35802	35802		1															
35803	35803		1															
35804	35804		1															
35805	35805		1															
########	########	########	########	########	########	########												
																		
########	技能1618	########	35851---35900		########	########												
35851	35851		1															
35852	35852		1															
35853	35853		1															
35854	35854		1															
35855	35855		1															
########	########	########	########	########	########	########												
																		
########	技能1619	########	35901---35950		########	########												
35901	35901		1															
35902	35902		1															
35903	35903		1															
35904	35904		1															
35905	35905		1															
########	########	########	########	########	########	########												
																		
########	技能1620	########	35951---36000		########	########												
35951	35951		1															
35952	35952		1															
35953	35953		1															
35954	35954		1															
35955	35955		1															
########	########	########	########	########	########	########												
